folder	author_ja	author_en	viaf	title_ja	title_en	volume	publisher_ja	publisher_en	pubdate	isbn	license	attribution	viewingDirection	viewingHint	Description	tags	index	index_page
b001	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	1	講談社	Koudansha	2002	4-06-328825-0	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b002	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	2	講談社	Koudansha	2002	4-06-328826-9	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b003	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	3	講談社	Koudansha	2002	4-06-328849-8	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b004	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	4	講談社	Koudansha	2003	4-06-328862-5	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b005	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	5	講談社	Koudansha	2003	4-06-328884-6	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b006	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	6	講談社	Koudansha	2003	4-06-328893-5	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b007	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	7	講談社	Koudansha	2003	4-06-328917-6	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b008	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	8	講談社	Koudansha	2004	4-06-328936-2	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b009	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	9	講談社	Koudansha	2004	4-06-328971-0	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b010	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	10	講談社	Koudansha	2004	4-06-328989-3	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b011	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	11	講談社	Koudansha	2005	4-06-372411-5	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b012	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	12	講談社	Koudansha	2005	4-06-372465-4	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				
b013	佐藤秀峰	Shuho Sato	http://viaf.org/viaf/66709432	ブラックジャックによろしく	Give My Regards to Black Jack	13	講談社	Koudansha	2005	4-06-372488-3	https://densho810.com/free/	ブラックジャックによろしく　佐藤秀峰	right-to-left	paged				